country,summer_total,winter_total,total_participation,total_won
Afghanistan,2,0,15,2
Algeria,17,0,17,17
Argentina,77,0,45,77
Armenia,18,0,15,18
Australasia,12,0,2,12
Australia,547,19,47,566
Austria,96,250,52,346
Azerbaijan,49,0,14,49
Bahamas,16,0,17,16
Bahrain,4,0,10,4
Barbados,1,0,13,1
Belarus,85,20,15,105
Belgium,157,8,49,165
Bermuda,2,0,27,2
Bohemia,4,0,3,4
Botswana,2,0,11,2
Brazil,150,0,32,150
British West Indies,2,0,1,2
Bulgaria,224,6,42,230
Burkina Faso,1,0,10,1
Burundi,2,0,7,2
Cameroon,6,0,16,6
Canada,326,225,51,551
Chile,13,0,42,13
China,636,77,23,713
Colombia,34,0,23,34
Costa Rica,4,0,22,4
Ivory Coast,4,0,14,4
Croatia,41,11,17,52
Cuba,235,0,21,235
Cyprus,1,0,23,1
Czech Republic,67,34,15,101
Czechoslovakia,143,25,32,168
Denmark,205,1,43,206
Djibouti,1,0,9,1
Dominican Republic,12,0,15,12
Ecuador,5,0,17,5
Egypt,38,0,24,38
Eritrea,1,0,8,1
Estonia,36,8,24,44
Ethiopia,58,0,16,58
Fiji,3,0,18,3
Finland,305,175,50,480
France,751,138,53,889
Gabon,1,0,11,1
Georgia,40,0,15,40
Germany,655,267,30,922
United Team of Germany,118,19,6,137
East Germany,409,110,11,519
West Germany,204,39,11,243
Ghana,5,0,18,5
Great Britain,916,34,53,950
Greece,121,0,49,121
Grenada,3,0,10,3
Guatemala,1,0,16,1
Guyana,1,0,18,1
Haiti,2,0,17,2
Hong Kong,9,0,23,9
Hungary,511,10,51,521
Iceland,4,0,40,4
India,35,0,36,35
Indonesia,37,0,16,37
Iran,76,0,29,76
Iraq,1,0,15,1
Ireland,35,0,30,35
Israel,13,0,25,13
Italy,618,141,52,759
Jamaica,88,0,27,88
Japan,497,76,45,573
Jordan,3,0,11,3
Kazakhstan,71,8,15,79
Kenya,113,0,19,113
Kosovo,3,0,4,3
North Korea,55,2,19,57
South Korea,287,79,37,366
Kuwait,3,0,13,3
Kyrgyzstan,7,0,15,7
Latvia,21,10,24,31
Lebanon,4,0,36,4
Liechtenstein,0,10,38,10
Lithuania,26,0,20,26
Luxembourg,3,2,35,5
Malaysia,13,0,16,13
Mauritius,1,0,10,1
Mexico,72,0,34,72
Moldova,6,0,15,6
Mongolia,30,0,29,30
Montenegro,1,0,8,1
Morocco,24,0,23,24
Mozambique,2,0,11,2
Namibia,5,0,8,5
Netherlands,322,147,49,469
Netherlands Antilles,1,0,15,1
New Zealand,137,6,41,143
Niger,2,0,13,2
Nigeria,27,0,19,27
North Macedonia,2,0,14,2
Norway,163,405,51,568
Pakistan,10,0,22,10
Panama,3,0,18,3
Paraguay,1,0,14,1
Peru,4,0,22,4
Philippines,14,0,28,14
Poland,298,23,46,321
Portugal,28,0,34,28
Puerto Rico,10,0,27,10
Qatar,8,0,10,8
Romania,308,1,44,309
Russia,424,121,12,545
Russian Empire,8,0,3,8
Soviet Union,1010,194,18,1204
Unified Team,112,23,2,135
Olympic Athletes from Russia,0,17,1,17
ROC,71,32,2,103
San Marino,3,0,26,3
Saudi Arabia,4,0,13,4
Samoa,1,0,10,1
Senegal,1,0,20,1
Serbia,24,0,9,24
Serbia and Montenegro,9,0,6,9
Singapore,5,0,18,5
Slovakia,32,10,15,42
Slovenia,28,24,17,52
South Africa,89,0,27,89
Spain,169,5,45,174
Sri Lanka,2,0,18,2
Sudan,1,0,13,1
Suriname,2,0,13,2
Sweden,503,176,52,679
Switzerland,206,168,53,374
Syria,4,0,14,4
Chinese Taipei,36,0,28,36
Tajikistan,4,0,11,4
Tanzania,2,0,14,2
Thailand,35,0,22,35
Togo,1,0,13,1
Tonga,1,0,12,1
Trinidad and Tobago,19,0,22,19
Tunisia,15,0,15,15
Turkey,103,0,41,103
Turkmenistan,1,0,7,1
Uganda,11,0,16,11
Ukraine,139,9,15,148
United Arab Emirates,2,0,10,2
United States,2629,330,52,2959
Uruguay,10,0,23,10
Uzbekistan,36,1,15,37
Venezuela,19,0,23,19
Vietnam,5,0,16,5
Virgin Islands,1,0,21,1
Yugoslavia,83,4,30,87
Zambia,2,0,14,2
Zimbabwe,8,0,15,8
Independent Olympic Athletes,2,0,3,2
Independent Olympic Participants,3,0,1,3
Mixed team,25,0,3,25
Totals,16781,3500,53,20281
